Sex,DVRT,Educational_level,Prestige_score,Type_school,target
male,107.0,Senior_cycle_terminal_leaver-secondary_school,75.0,secondary,taken
female,70.0,Junior_cycle_terminal_leaver-vocational_school,31.0,vocational,not_taken
female,105.0,Junior_cycle_incomplete-secondary_school,57.0,secondary,not_taken
female,109.0,Junior_cycle_terminal_leaver-secondary_school,28.0,secondary,not_taken
female,100.0,Senior_cycle_terminal_leaver-secondary_school,57.0,secondary,taken
male,100.0,Junior_cycle_terminal_leaver-vocational_school,35.0,vocational,not_taken
female,86.0,Junior_cycle_terminal_leaver-vocational_school,40.0,vocational,not_taken
male,129.0,Junior_cycle_terminal_leaver-secondary_school,18.0,secondary,not_taken
male,109.0,Junior_cycle_terminal_leaver-secondary_school,37.0,secondary,not_taken
female,110.0,Senior_cycle_terminal_leaver-secondary_school,40.0,secondary,taken
male,112.0,Junior_cycle_incomplete-secondary_school,18.0,secondary,not_taken
female,102.0,Junior_cycle_terminal_leaver-vocational_school,42.0,vocational,not_taken
male,112.0,Senior_cycle_terminal_leaver-secondary_school,43.0,secondary,taken
male,95.0,Junior_cycle_incomplete-secondary_school,43.0,secondary,not_taken
male,101.0,Senior_cycle_terminal_leaver-secondary_school,61.0,secondary,taken
male,117.0,Senior_cycle_terminal_leaver-secondary_school,,secondary,taken
female,88.0,Senior_cycle_terminal_leaver-secondary_school,37.0,secondary,taken
female,120.0,3rd_level_complete,40.0,secondary,taken
female,83.0,Primary_terminal_leaver,28.0,primary_terminal_leaver,not_taken
male,88.0,Junior_cycle_incomplete-vocational_school,58.0,vocational,not_taken
male,100.0,Senior_cycle_incomplete-vocational_school,37.0,vocational,not_taken
male,117.0,Senior_cycle_terminal_leaver-secondary_school,42.0,secondary,taken
female,86.0,Junior_cycle_incomplete-vocational_school,18.0,vocational,not_taken
male,109.0,,43.0,secondary,not_taken
female,111.0,Senior_cycle_incomplete-secondary_school,37.0,secondary,not_taken
male,85.0,Junior_cycle_terminal_leaver-vocational_school,28.0,vocational,not_taken
