col_1,col_2,col_3,col_4,col_5,target
IND__NE,-1,0.0,1.0,1.0,91.0
MIN__GB,1,0.0,1.0,6.0,89.0
PIT__CIN,1,0.0,1.0,16.0,91.0
PIT__HOU,-1,1.0,0.0,17.0,90.0
DEN__PIT,1,1.0,1.0,10.0,91.0
BUF__NE,1,0.0,0.0,8.0,90.0
DEN__LAA,1,0.0,1.0,3.0,89.0
ATL__TB,1,0.0,1.0,12.0,91.0
WAS__NO,1,0.0,0.0,4.0,89.0
DAL__PHX,1,0.0,1.0,15.0,90.0
MIA__PHX,1,0.0,1.0,9.0,90.0
DET__ATL,1,0.0,0.0,16.0,89.0
CIN__IND,-1,0.0,1.0,12.0,90.0
BUF__CIN,1,0.0,1.0,12.0,89.0
HOU__DEN,1,0.0,1.0,6.0,91.0
CIN__CLE,1,2.0,1.0,3.0,89.0
HOU__LAA,1,0.0,1.0,11.0,89.0
WAS__IND,-1,4.0,0.0,16.0,90.0
MIN__DET,-1,0.0,1.0,5.0,90.0
NYG__SF,0,2.0,1.0,1.0,91.0
CHI__HOU,-1,0.0,1.0,6.0,89.0
HOU__NE,-1,0.0,0.0,4.0,91.0
LAN__GB,-1,0.0,1.0,3.0,89.0
WAS__PHA,-1,0.0,1.0,2.0,89.0
WAS__DET,1,0.0,0.0,9.0,90.0
PHX__ATL,1,0.0,1.0,7.0,89.0
NYJ__SD,-1,0.0,1.0,6.0,90.0
PHA__CIN,-1,0.0,1.0,12.0,91.0
MIA__IND,1,0.0,1.0,9.0,89.0
MIA__IND,-1,0.0,1.0,17.0,90.0
DEN__CIN,1,0.0,1.0,1.0,91.0
CHI__DET,1,0.0,0.0,3.0,89.0
MIA__IND,1,0.0,0.0,8.0,90.0
NYG__DAL,1,0.0,1.0,12.0,91.0
SEA__HOU,1,0.0,1.0,13.0,90.0
LAN__ATL,1,0.0,0.0,1.0,89.0
LAN__PHX,1,0.0,1.0,11.0,89.0
BUF__IND,-1,0.0,0.0,5.0,89.0
LAA__BUF,-1,0.0,1.0,15.0,91.0
PHX__NE,1,0.0,1.0,12.0,90.0
CLE__NYJ,1,0.0,1.0,2.0,89.0
ATL__GB,-1,0.0,1.0,14.0,91.0
DAL__PHA,-1,0.0,1.0,3.0,91.0
MIN__HOU,1,0.0,1.0,1.0,89.0
NYG__PHX,-1,0.0,1.0,7.0,90.0
BUF__GB,1,0.0,0.0,11.0,91.0
CIN__MIA,-1,0.0,1.0,6.0,89.0
BUF__NE,-1,0.0,0.0,11.0,89.0
PHA__DAL,1,0.0,1.0,16.0,90.0
PHA__WAS,1,2.0,1.0,10.0,90.0
PHA__SF,-1,0.0,1.0,3.0,89.0
NYG__PHA,-1,2.0,0.0,10.0,91.0
BUF__IND,1,0.0,1.0,1.0,90.0
MIN__PIT,-1,0.0,0.0,3.0,89.0
PHX__DET,1,0.0,0.0,1.0,89.0
CHI__SEA,1,0.0,1.0,1.0,90.0
PHA__PHX,1,0.0,0.0,13.0,91.0
LAA__SD,-1,1.0,0.0,10.0,89.0
NYG__DAL,1,0.0,0.0,4.0,89.0
DEN__PHX,1,4.0,0.0,15.0,89.0
CHI__GB,1,0.0,1.0,15.0,91.0
NYG__SEA,1,0.0,1.0,11.0,89.0
MIA__DAL,-1,0.0,0.0,11.0,89.0
